komentar,komentar_bersih
Pak erick thoir kemana..ya.....kesalahan beliau pilih patrick kluevter sedari awal juga patrick kluevter gk punya izasah kepelatihan..sebuah timn.nasional....pk erick juga heran ko bisa depak shin.tae yong padahal..shin.tae young kontrak nya smpai 2027..ko di pecat..inih jelas aneh..pssi.dari dulu seperti itu mulu gk berubah berubah..heran..,erick thoir kemanayakesalahan beliau pilih patrick kluevter dar patrick kluevter izasah kepelatihansebuah timnnasionalpk erick heran ko depak shintae yong padahalshintae young kontrak smpai ko pecatinih anehpssidari mulu ubah berubahheran
"Proyek tersembunyi berhasil Indonesia nunggu 4tahun lagi Misal Patrick dipecatpun dia nyantai aja,, dapat duit kompensasi pulang belanja sambil tersenyum lebar",proyek sembunyi hasil indonesia nunggu patrick pecat nyantai duit kompensasi pulang belanja senyum lebar
Awan China aja ga bisa menang malahan kalah 2-1,awan china menang kalah
"​ @Drifton05 kalah lawan China padahal market value-nya jauh dibawah timnas Indonesia parah bener emang, gara-gara STY timnas susah ke pildunnya Udah gitu dibantai jepang di GBK, anjir GBK nih...kandang sendiri, parah STY",kalah lawan china market valuenya bawah timnas indonesia parah bener emang garagara sty timnas susah pildunnya udah gitu bantai jepang gbk anjir gbk nihkandang parah sty
"Harus ada prubahan dri anggotta pssi dan pelatihnya, pemain kita sudah bagus bagus era sekrng , erik thoir ucpan mu dlu saat ada Sty pernah bilang mundur tolong skrng lu lebih baik mundur, ganti ratu tisha.",prubahan dri anggotta pssi latih pemain bagus bagus era sekrng erik thoir ucpan mu dlu sty bilang mundur tolong skrng mundur ganti ratu tisha
Jngan patrik squidword guepun bisa. Jngan dulu sty,jngan patrik squidword gue jngan sty
SEJAK SIRKEL BELANDA GABUNG TIMNAS SENIOR AMA U23 TURUN KASTA😂😂,sirkel belanda gabung timnas senior ama turun kasta
Betul dan itu smisal engga dicurangi wasit wktu lawan bahrain udah menang itu,smisal engga curang wasit wktu lawan bahrain udah menang
"siapapun pelatih ny kalau masih banyak mafia ny gk bakal maju timnas,,",pelatih ny mafia ny maju timnas
Sama Aja STY Dan PK Sama Sama Gak Becus Untuk Meloloskan Indonesia Bermain Di Piala Dunia 2026,sty pk becus lolos indonesia main piala dunia
Nepal kan PSSI Patrick out,nepal pssi patrick out
Skor nya kebantai semua,skor bantai
Mending kalah bareng sty daripada masuk round 5 bareng patrick,mending kalah bareng sty masuk round bareng patrick
"Bisa lebih poinnya kalo yg latih masih STY ,,Jaman STY slalu di rugikan wasit...klo fair mah..udh menang dari dulu coach Shin ini..",poin kalo latih sty jaman sty slalu rugi wasitklo fair mahudh menang coach shin
"​ @rifkiadityaSaputra-y5u lah justru sty paling di untungkan wasit, di klub Korea sty aja di pcat 10 pertandingan cuma sekali menang klo ga salah 😂",sty untung wasit klub korea sty pcat tanding menang salah
"Lawak ngepuji²STY🤣,lawan china aja di bantai,,lawan bahrain imbang,maen di kandang sendiripun menang cuma 1-0doang,ball posisionnya aja jelek timnas,hoki doang 😂",lawak ngepujistylawan china bantailawan bahrain imbangmaen kandang sendiri menang doangball posisionnya jelek timnashoki doang
"Mungkin jika STY yang jadi pelatih,lebih memungkinkan untuk lolos round 5 dan di setiap match kebobolan lebih sedikit.",sty pelatihlebih lolos round match bobol
"Jangankan STY. Elu aja bisa bang. Pemain udah ada, tinggal suruh main doang, di kandang lagi. 😂 Bener² cacat logika yg ngomong gitu.",sty elu bang pemain udah tinggal suruh main doang kandang bener cacat logika ngomong gitu
"Timnas udah main bagus lawan Irak, tapi finishing-nya belum tajam dan chemistry antar pemain masih sedikit kurang nyatu dan solid. kalo ada Lionel Messi selesai.",timnas udah main bagus lawan irak finishingnya tajam chemistry pemain nyatu solid kalo lionel messi selesai
"Yg gagal hrs ada konsuweksinya, mundur",gagal hrs konsuweksinya mundur
2 match kemenangan patrick masih pake taktik pragmatis 3-4-3 nya sty kalo nggak salah (koreksi jika saya saya salah) jadi bisa dibilang sty pun sebenernya bisa buat kasih kemenangan itu,match menang patrick pake taktik pragmatis sty kalo salah koreksi salah bilang sty sebenernya kasih menang
Sty come back,sty come back
"Ga lah, lah itu si towel sama Bahtiar Yusuf dukung PK mati2an, klo ga percaya, liat di tuh di tv one",si towel bahtiar yusuf dukung pk mati an percaya liat tuh tv one
Coach Roberto Mancini kayanya ok nih buat ganti Pk,coach roberto mancini kaya ok ganti pk
sangat² sedih.....sebagai pecinta timnas ...dan saya yakin banyak pecinta timnas yang merasakan hal yg sama seperti saya....,sedihsebagai cinta timnas cinta timnas rasa
"Semua cma skenario ET bro. STY gabisa diajak kompromi, makannya ET ganti. Kalian nangis sdgkn ET party cair tuh duit minyak. 😂",cma skenario et sty gabisa ajak kompromi makan et ganti nang sdgkn et party cair tuh duit minyak
"Setuju,, mantap sekali analisanya bung binder",tuju mantap analisanya binder
