komentar,komentar_bersih
betul sekali. di tangan Spongebob kulivert makin ancur padahal materi pemain sekarang sdh bagus. tapi era sty dengan pemain seadanya masih bagus. inilah Konoha banyak penghianat seperti buzerrp towel tai😂😂,tangan spongebob kulivert ancur materi pemain sdh bagus era sty pemain ada bagus konoha penghianat buzerrp towel tai
Bosan aku dengar,bosan dengar
"Enggaklah, pondasi Tetep di bangun ulang sty oy! Pondasi Luis milla udah di hancurkan sama Simon mcmenemi! Sty bangun skuad muda dan potong generasi tua. STY juga yg ingin pemain naturalisasi/diaspora untuk mendukung proyeknya.",enggak pondasi tetep bangun ulang sty oy pondasi luis milla udah hancur simon mcmenemi sty bangun skuad muda potong generasi tua sty pemain naturalisasidiaspora dukung proyek
"setau gua ketum gk berhak mecat pelatih, pemecatan STY itu hasil votting dan rapat EXCO begitupula penunjukan pelatih itu EXCO yang nentuin, STY didatangkan atas hasil votting EXCO bukan ide dri iwan bule, jadi sbner nya ET itu dimanfaatkan anggota EXCO demi kepentingan masing2, klo ET lengser justru yg seneng ya mereka2 yang ada di EXCO ini, karena mafia nya ada di EXCO.",tau tum hak mecat pelatih pecat sty hasil votting rapat exco begitupula tunjuk pelatih exco nentuin sty hasil votting exco ide dri iwan bule sbner et manfaat anggota exco penting et lengser neng ya exco mafia exco
Ngak ada hubunganya Blok....,ngak hubunganya blok
Bukan tentang pilpres dia mendepak sty karna pengalihan isu korupsi pertamina,pilpres depak sty alih isu korupsi pertamina
Xavi Hernandez atau Roberto Mancini ❤,xavi hernandez roberto mancini
"Klw bagus mah gk bakalan dipecat..sty dn kluivert sama saja wlw dikasih pemain bagus2 ,kurang strategi.",klw bagus mah dipecatsty dn kluivert wlw kasih pemain bagus strategi
​ @ArmanVirdansyah lu tahu alasan ET pecat STY? apakah alasannya gak bagus?,alas et pecat sty alas bagus
Sependapat,dapat
"Agree. pelatih yg lbh baik pasti banyak tp paling penting adalah pelatih yg cocok utk timnas. yg kaya taktik, mengerti kultur dan karakter para pemain, memahami kelebihan dan kekurangan timnas. sejauh ini STY yg paling cocok. tinggal dijadikan role model utk mencari pelatih dan tdk hrs STY",agree pelatih lbh pelatih cocok timnas kaya taktik erti kultur karakter pemain paham lebih kurang timnas sty cocok tinggal jadi role model cari pelatih hrs sty
"Jika sebagai suporter kita hanya bisa tau jelek pemain, jelek pelatih, ayolah kalian bangun dan melek, masalah ada pada tubuh pssi,, mereka mau pelatih yg mau di atur, pelatih yg bagus adalah yg punya wewenang penuh atas tim, tapi jika ada kekurangan dan pengecewaan maka 100% pelatih yg harus disalahkan,, untuk saat ini jangan sampai sesama supporter dibenturkan dengan pemain dan sesama supporter, penyakit utama ada dalam tubuh pssi yg masih belum sepenuhnya sehat,,",suporter jelek pemain jelek pelatih ayo bangun melek tubuh pssi pelatih atur pelatih bagus wewenang penuh tim kurang kecewa pelatih salah supporter bentur pemain supporter sakit utama tubuh pssi sepenuh sehat
Ini baru bener..bukan fans fomo..ngawur..ET out lah STY came back lah..hadehhh..mentok disitu doang dunianya.. Bravo timnas ❤❤❤,benerbukan fans fomongawuret out sty came back lahhadehhhmentok situ doang dunia bravo timnas
Betul-betul,betulbetul
Sepakat 😂😂😂,sepakat
"Berfikirlah dalam ketenangan ohh Erick Thohir...""Terkadang Keegoisan menghancurkan Mimpi""...ya mimpi kamu, mimpi saya, mimpi rakyat Indonesia, dan Mimpi Asia Tenggara. Tak tahu apakah umur ini masih akan menyatu dengan badan saat Indonesia bertarung di kualifikasi Piala Dunia selanjutnya...180 menit adalah jarak terdekat setelah sekian puluh tahun menunggu merah putih berkibar di ajang World Cup. Ohh Patrick..Engkaulah memang pelatih yang dianggap Pelatih Terbaik oleh ketua PSSI kami Erick Thohir...Terima kasih kalian berdua telah membuat kami patah hati untuk yang kedua kalinya...Bukan hanya Indonesia tapi Asia Tenggara. Kalian berdua telah menyia nyiakan mimpi kami semua..",berfikirlah tenang ohh erick thohirterkadang egois hancur mimpiya mimpi mimpi mimpi rakyat indonesia mimpi asia tenggara umur satu badan indonesia tarung kualifikasi piala dunia menit jarak dekat sekian puluh tunggu merah putih kibar ajang world cup ohh patrickengkaulah pelatih anggap pelatih baik ketua pssi erick thohirterima kasih dua patah hati kalinyabukan indonesia asia tenggara dua sia nyiakan mimpi
Tidak ada konten kreator yg berani menyuarakan kesalahan erik tohir. 😂😂😂😂,konten kreator berani suara salah erik tohir
Si erk bilang katanya siapa yg bermimpi ke piala dunia...ooo beda gitu skg ucapannya....kalo cuma aff ngapain ambil pemain dr luar..kasihan mereka yg ganti negara...pantas bpk emil bilang seperti itu dan egk ikhls anaknya main di indonesia...pengurusnya aj bobrok...,si erk bilang mimpi piala duniaooo beda gitu skg ucapannyakalo aff ngapain ambil pemain luarkasihan ganti negarapantas bpk emil bilang egk ikhls anak main indonesiapengurusnya aj bobrok
"Membuktikan kemampuan sebagai tim nasional tidak gampang,telah di buktikan dgn baik kekurangan dan kelebihan hal biasa yg mesti evaluasi sendiri.",bukti mampu tim nasional gampangtelah bukti kurang lebih mesti evaluasi
"Ah akhirnya usai sudah Mau kritik sedikit soal podcast dan beberapa pemain timnas. Inilah sebenernya sesuatu yang selama ini janggal di hati dan rasionalitas saya akhirnya muncul ke permukaan. Ego tom haye, diluar dan dalam pertandingan hehe. Joey yang ..... lambat. Semua pemain liga 1 yang ga bisa perform (haye sama eliano juga hehe) kecuali ridho sih. Salut untuk semua pemain yang abroad, lokal atau naturalisasi. 2030 adalah era emasnya nya nathan, ivar, mauro, el preman, ridho, marcheng dan beberapa pemain abroad akan AKAN MUNCUL KEMBALI dibawah pelatih baru, Masih ada jay yang... (ga bisa ngomong apa apa lagi saya), dean yang terkilir angkel nya tapi masih tangguh, verdonk yang luar biasa dan akan tetap luar biasa untuk 10 tahun lagi.",ah kritik podcast pemain timnas sebenernya janggal hati rasionalitas muncul muka ego tom haye luar tanding joey lambat pemain liga perform haye eliano kecuali ridho salut pemain abroad lokal naturalisasi era emas nathan ivar mauro el preman ridho marcheng pemain abroad muncul bawah pelatih jay ngomong dean kilir angkel tangguh verdonk
"Patrick harus dipecat lalu cari Pelatih yang berani tidak memainkan pemain lokal, selama masih ada pemain lokal timnas masih lemah, satu error aja fatal dampaknya dan akan mempengaruhi satu tim. Sampai kapanpun pemain lokal kita ini levelnya akan tetap AFF.",patrick pecat cari pelatih berani main pemain lokal pemain lokal timnas lemah error fatal dampak pengaruh tim pemain lokal level aff
"Alhamdulillah,do,a ku di kabulkan oleh tuhan,,",alhamdulillahdoa ku kabul tuhan
"Nama STY di panggil di Australia, Arab Saudi kok bukan PK, itu tandanya seporter Timnas lebih percaya STY dari pada PK. INI FAKTA !!!",nama sty panggil australia arab saudi pk tanda seporter timnas percaya sty pk fakta
Saya ttap dukung pemain dn terimakasih sudah kerja keras untuk bangsa kita. PK out Et mundur dari PSSI,ttap dukung pemain dn terimakasih kerja keras bangsa pk out et mundur pssi
"biar bagaimana pun Pak Erick Tohir serta jajaran pengurus PSSI sudah membentuk Timnas sampai level ini, lanjutkan dan evaluasi Pak... respek",biar erick tohir jajar urus pssi bentuk timnas level lanjut evaluasi respek
Kembalikan sty,kembali sty
Selagi masih ada musuh dalam selimut timnas tidak akan maju...,selagi musuh selimut timnas maju
0:17 kosongkan tribun stadion jika si Patrick Kluivert masih MELATIH timnas Indonesia 😢,kosong tribun stadion si patrick kluivert latih timnas indonesia
Berharap kerangka Tim dan staff kepelatihan tidak diubah karena dari segi teknik dan manajerial sudah yg terbaik Tetapi untuk pelatih kepala mungkin biar federasi PSSI yg memutuskan apakah diganti atau tidak. We proud of national team🇮🇩,harap kerangka tim staff latih ubah segi teknik manajerial baik pelatih kepala biar federasi pssi putus ganti we proud of national team
Hahhahah,hahhahah
Selama exco dan jajaran nya masih itu2 aja percayalah timnas Indonesia cuman tampil di aff doang itu juga runner up 😂,exco jajar percaya timnas indonesia cuman tampil aff doang runner up
KALO MAU FAIR PK WAJIB OUTT !! DULU STY BLUNDER VS CHINA LANGSNG PANAS DAN OUT. SEKARANG KITA TUNGGU TANGGUNG JAWAB PSSI UNTUK PECAT PK !!,kalo fair pk wajib outt sty blunder vs china langsng panas out tunggu tanggung pssi pecat pk
"Kata coach justin. Ga adil kalau patrik di pecat, karna baru 8 bulan. Sedangkan sty bisa sampe 5 tahun Kata bung towel. Patrik bukan pesulap, bisa loloskan indo ke pildun. Pertanyaan nya. Terus kenapa pecat STY di tengah jalan? kalau patrik ga ada target masuk pildun. Sedangkan STY udah siap, target pildun. Aneh kan , kocak 😅😅😅",coach justin adil patrik pecat sty sampe towel patrik sulap lolos indo pildun pecat sty jalan patrik target masuk pildun sty udah target pildun aneh kocak
Kalo masih punya harga diri harusnya Mengundurukan Diri,kalo harga mengundurukan
"Ada yg kebelet urusan di 2029 dengan alibi urusan wc-2026 😂 Kalo dia punya malu pasti akan mundur, mari kita lihat : wkwkwk",kebelet urus alibi urus wc kalo malu mundur mari lihat
Nggak ada calon Ketum PSSI yang lebih baik daripada Erick Thohir!,calon tum pssi erick thohir
"​ @amekachihasibuan ratu tisya oke kek nya bro Erik tuh termul ,, gw dah bilang berkali2",ratu tisya oke erik tuh termul dah bilang kali
