komentar,komentar_bersih
"Dasar netizen kalah menang itu pertandingan yg penting sudah usaha tetap. Kt dukung baru fans sejati, bukan bisanya hanya mencaci tetap berdo,a PD ILLAHI agar sukses dikemudian hari",dasar netizen kalah menang tanding usaha kt dukung fans sejati bisa caci doa illahi sukses kemudi
MUSUH UTAMA SEPAKBOLA INDONESIA :: SI TOWEL. KELUAR WUY TOWEL JGN NGUMPET,musuh utama sepakbola indonesia si towel wuy towel jgn ngumpet
Nyalahin pa eric...beliau jasanya gede loh lobi pemain...diaspora..pada mau ke timnas ketua sebelumnya nga yg mampu...pengaturan skor mafia bola di liga udh jadi tradisi...pa erick bawa timnas peringkat pssi di dunia meningkat jangan lupa itu,nyalahin pa ericbeliau jasa gede loh lobi pemaindiasporapada timnas ketua nga mampupengaturan skor mafia bola liga udh tradisipa erick bawa timnas peringkat pssi dunia tingkat lupa
​ @DanyUhuy-t5g iya dia yg lobi tapi dia jg yg hancurin blok,iya lobi jg hancurin blok
​ @DanyUhuy-t5g preeet....mafia bola di indonesia ttp subur.full pemain di datangkan dr belanda jg kita kalah.erik tohir baik di awal udah duduk enak ya keliatan aslinya.macam anggota DPR indonesia yg lain,preeetmafia bola indonesia ttp suburfull pemain datang belanda jg kalaherik tohir udah duduk enak ya liat aslinyamacam anggota dpr indonesia
​ @DanyUhuy-t5g iya sob mereka lupa klo sepak bola indo masih setingkat apa' mereka merasa tim ini sudah sekelas German saja😂😂😂,iya sob lupa sepak bola indo tingkat tim kelas german
Erik Tohir harus mundur dan petrik kliper sebagai pelatih harus di pecat....,erik tohir mundur trik kliper pelatih pecat
Gagal pildun kok puas,gagal pildun puas
Gagal pildun kok puas harusnya masuk pildun terus kalah baru puas😂😂😂,gagal pildun puas masuk pildun kalah puas
Riki ridho hebat😊,riki ridho hebat
Tp tenang KLO pmain dari tim Ono meskipun blunder g skn d hujat😅,tenang pmain tim ono blunder skn hujat
Fokus ke futsal aja😂,fokus futsal
"Main itu ga harus cantik, yg penting menang cil😂",main cantik menang cil
Bukan karena kalah..tapi karena pupus harapan sekian jauh perjalanan..dari ronde ke ronde..untuk lolos piala dunia...jelas?,kalahtapi pupus harap sekian perjalanandari ronde rondeuntuk lolos piala duniajelas
Unik komen nya. kala ga lolos PILDUN ko puas ya 😂🤦‍♂️,unik komen lolos pildun ko puas ya
ini kan pendapat dia kenapa harus di counter pendapat nya 🤣🤣🤣,dapat counter dapat
gini saja terus netizen,gin netizen
Puas bapaklu,puas bapaklu
Anak asuh towel menang gak penting,anak asuh towel menang
Semangat timnas,semangat timnas
"Iya lebih puas lah lihat cara mainnya di banding kemarin lawan Arab Saudi, harusnya lawan Arab Saudi formasi gini kemarin, Kalau mainnya kayak lawan Irak ini yakin bisa menang lawan Arab Saudi",iya puas lihat main banding kemarin lawan arab saudi lawan arab saudi formasi gin kemarin main lawan irak menang lawan arab saudi
Berterima kasihlah kepada pelatih Patrick Kluivert karena berkat beliau Indonesia bisa sampai sejauh ini dan makin go Internasional. CATATAN: TARGET NYA PAK ET JELAS BAHWA INDONESIA BISA LOLOS KE PIALA DUNIA 2030. BUKAN 2026.,terima kasih pelatih patrick kluivert berkat beliau indonesia go internasional catat target et indonesia lolos piala dunia
​@septiansyahwibowo😂 Kluivert cuman round 4 sedangkan STY dari awal piala asia sampe kualifikasi piala dunia 😂,kluivert cuman round sty piala asia sampe kualifikasi piala dunia
"Oke singkat aja ya 1. Di match ini antara wasit di lapangan dan wasit VAR, kenapa ga ada komunikasi dalam hal Review VAR padahal banyak momen yg seharusnya di Cek VAR 2. Ada 2 kesalahan pemain Indonesia dalam proses gol Irak, berawal dari ridho yg tidak buang bola jauh saja dan juga Verdonk yg telat tutup ruang tembak Zidane Iqbal 3. Momen pemain Irak yg melakukan Professional fouls terhadap Ole dan melakukan terjangan keras ke paha Kevin Diks dan lucunya itu tidak di anggap wasit 4. VAR dan wasitnya tidak bekerja di match ini Indonesia itu aneh antara apes atau emang takdir Saat dapet wasitnya bener dan adil, malah pelatihnya yg koplak dalam hal strategi Tapi giliran Pelatihnya udh bener dalam hal strategi, malah dapet wasit yg stress😭😭",oke singkat ya match wasit lapang wasit var komunikasi review var momen cek var salah pemain indonesia proses gol irak ridho buang bola verdonk telat tutup ruang tembak zidane iqbal momen pemain irak professional fouls ole terjang keras paha kevin diks lucu anggap wasit var wasit match indonesia aneh apes emang takdir dapet wasit bener adil latih koplak strategi gilir latih udh bener strategi dapet wasit stress
Tak apa capt. Kalian sudah menampilkan yg terbaik.,capt tampil baik
Air mata dusta Patrick Kluivert,air mata dusta patrick kluivert
"Terima kasih timnas Indonesia telah mengantarkan sampai babak keempat 2026, usaha PSSI yang luar biasa, bravo PSSI dan Timnas, tetap jaya dan cinta Indonesia. Love you full",terima kasih timnas indonesia antar babak empat usaha pssi bravo pssi timnas jaya cinta indonesia love you full
Angkat kepalamu bang jay...kami tetap mendukungmu,angkat kepala bang jaykami dukung
Menit 1:18 pak Sumarji Ter nyata hajar wasit .. bravo pak Sumarji sudah mewakili kami NKRI .,menit sumarji ter nyata hajar wasit bravo sumarji wakil nkri
