komentar,komentar_bersih
"Pasti bang Jay dan Marteen paes juga pasti nurut sama official timnas nya yg pasti adanya konten itu klo bukan dari orang dalam gak akan mungkin ,harusnya sabar dlu nanti setelah lawan iraq baru gpp lah ini keadaan mental pemain aja masih down gara-gara kalah lawan arab ,bisa BKIN pemain juga gak fokus gak sii cuma gara-gara podcast yg sebenarnya gak penting"" banget",bang jay marteen paes nurut official timnas konten orang sabar dlu lawan iraq gpp mental pemain down garagara kalah lawan arab bkin pemain fokus sii garagara podcast
"Para pemain sdh berjuang maksimal dan luar biasa. Pelajaran bagi PSSI bila akan bertanding di level sebesar Piala Dunia maupun Piala Asia jgn lagi mengumpulkan pemain secara dadakan dg waktu yg sangat mepet,minimal 10 hari sebelum bertanding sdh berkumpul. Para pemainnya hrs di pertahankan utk piala Asia 2027",pemain sdh juang maksimal ajar pssi tanding level piala dunia piala asia jgn kumpul pemain dada dg mepetminimal tanding sdh kumpul main hrs tahan piala asia
"Mantap sih pelatih irak, pandai membaca situasi pemain indonesia,, mantap mantap",mantap pelatih irak pandai baca situasi pemain indonesia mantap mantap
"Terima kasih STY karna engkaulah kami pendukung timnas bisa menyaksikan pertandingan hingga round piala dunia saat ini, mungkin tanpamu kita pendukung timnas sampai saat ini masih menyaksikan timnas tanding di piala AFF😂",terima kasih sty engkau dukung timnas saksi tanding round piala dunia tanpa dukung timnas saksi timnas tanding piala aff
Beginilah jika Harga Diri Negara dipertaruhkan pada seorang penjudi....,harga negara taruh judi
Harus diulang pertandingan Indonesia Irak. FIFA wajib Ulang pertandingan ini ☝️,ulang tanding indonesia irak fifa wajib ulang tanding
"When your team is fighting, but you stab them in the back. That's a real crime.:text-green-game-over:",when your team is fighting but you stab them in the back thats real crimetextgreengameover
"Rakyat Indonesia tidak pernah patah semangat. Rakyat Indonesia cuma SAKIT HATI oleh pihak-pihak yang seolah bermain-main dengan perasaan Rakyat. Selain Kretek dan Kopi, Sepakbola adalah sedikit kebahagiaan yang bisa dinikmati ditengah sulitnya lapangan kerja, dan kerasnya hidup yang dipertarungkan. Pihak-pihak yang ""bermain"" dengan pemberhentian STY selepas perpanjangan kontrak, HARUS GENTLEMAN. Siapapun dia, dari elemen manapun, federasi, exco, pundit, pengamat, tim pelatih, dll.",rakyat indonesia patah semangat rakyat indonesia sakit hati pihakpihak bermainmain asa rakyat kretek kopi sepakbola bahagia nikmat tengah sulit lapang kerja keras hidup tarung pihakpihak main henti sty lepas panjang kontrak gentleman elemen mana federasi exco pundit amat tim pelatih dll
"ya itulah bera era couch STY dan PK, STY terhadap pemain agar lebih tertutup akan setiap teamnas mau bertanding. dan lebih membatasi pemain terhadap publik. beda dengan PK yang terlalu mengumbar publik.",ya bera era couch sty pk sty pemain tutup teamnas tanding batas pemain publik beda pk umbar publik
Ke nya bojan hodak yg cocok latih timnas,bojan hodak cocok latih timnas
Bung binder undang bung kusnaini dong,binder undang kusnaini
"Cukup sudah kesempatan patrick, kami sudah cukup melihat dan menilai kemampuan kepelatihannya.. Semoga ada lembaran baru untuk Timnas!!!",sempat patrick nilai mampu latih moga lembar timnas
sty tetap yang terbaik,sty baik
"Sedih bung indonesia gagal ke pildun. Menurut saya orang awam biasa menilai bahwa Pelatih PK sudah cukup bagus menjadi pelatih walaupun gagal. Kedua ttg pemain kita. Para pemain kita juga sudah bagus baik skiils, kemistri, teknik bermain tdk kalah dengan pemain-pemain negara-negara lainya. Hanya pemain kita kurang gesit, individual improvisasi utk pemain pemain pemain tengahnya ( gelandang tengah, kiri dan kanan ) kurang sekali. sehinggga suplay utk ke pemain depan tidak maksimal alias belum ada. Pemain tengah harus skill yang larinya meliuk-liuk.",sedih indonesia gagal pildun orang awam nilai pelatih pk bagus pelatih gagal ttg pemain pemain bagus skiils mistri teknik main kalah pemainpemain negaranegara lai pemain gesit individual improvisasi pemain pemain pemain tengah gelandang kiri kanan sehinggga suplay pemain maksimal alias pemain skill lari meliukliuk
"Bung BINDER, satu2nya pundit yg cerdas dan selalu sesuai fakta dan netral.. harusnya pssi dengar bung binder bukan si towel tulul dan si justinuslaknat",binder pundit cerdas sesuai fakta netral pssi dengar binder si towel tulul si justinuslaknat
Info A1...erik t aza binggung knp enga enak hati dgn pemain lokal atau pemai Liga 1 harus ada yg main...ada apa?,info erik aza binggung enga enak hati pemain lokal mai liga mainada
"Coba cari pelatih di korasia, atau jerman pasti cocok",coba cari pelatih korasia jerman cocok
Đó là graham arno,graham arno
#Kembalikansty,kembalikansty
yeah,yeah
"Kunci pelatih terbaik, jika di ambil dari mantan pemain bola itu sendiri, Pilihan yang terbaik adalah pelatih yang punya pengalaman terutama di sektor ""gelandang"". Alasan nya kenapa. Alasan nya adalah ""gelandang sudah terbiasa mengatur ritme permainan team/jendral lapangan tengah/play maker"". Jadi klo pun mereka jadi pelatih mereka sama saja seperti seolah kembali bermain di lapangan, sebagai gelandang/jendral lapangan tengah/play maker/pengatur permainan Karena syarat utama dari seorang pelatih, adalah ""harus bisa mengatur permainan team(harus tau kapan menyerang/kapan mendelay/kapan bertahan)",kunci pelatih baik ambil mantan pemain bola pilih baik pelatih alam sektor gelandang alas alas gelandang biasa atur ritme main teamjendral lapang tengahplay maker pelatih main lapang gelandangjendral lapang tengahplay makerpengatur main syarat utama pelatih atur main teamharus rangkap mendelaykapan tahan
"Masalahnya masa menunggu 4 tahun lagi ke Piala Dunia, saat ini yang terdekat malah tidak dimaksimalkan",tunggu piala dunia dekat maksimal
Cuma bung binder yg realistis mengomentari timnas dr zaman sty n petrik. Saya sendiri tidak menyalahkan pemain timnas atau menghujat terlepas dr kesalahan yg mereka lakukan. Jelas ini kesalahan pelatih dr strategi dan penempatan pemasangan pemain,binder realistis komentar timnas zaman sty trik salah pemain timnas hujat lepas salah laku salah pelatih strategi tempat pasang pemain
