komentar,komentar_bersih
"Anda salah ❌justru awalnya ekspektasi akan tinggi langsung lolos round 4 eh kayanya kagak, makanya dia dapet jabatan baru menpora 😂posisi ya masih aman walaupun mundur dari pssi kan tetep pemimpin tertinggi menpora😂 Gw aja udah gak percaya sejak lawan Australia main open play tapi taktik gajelas sekali kena serang gampang kebobolan akhirnya dibantai😂 eh lawan saudi round 4 di ulangi lagi Lalu Ada yg bilang dg diganti full belanda maka probabilitas buat masuk pildun jadi naik 70 persen Gw sebagai penonton/ fans timnas saat laga pertama pk vs Australia aja udah gak yakin timnas masuk piala dunia Pelatih baru masuk langsung ubah sistem main open play tapi strategi nya gajelas sekali kena counter langsung keteteran tetep dipaksakan gak dirubah loh? Ujung-ujungnya kebantai Australia, kelihatan banget ni pelatih si paling benar ✅ Lalu saat lawan bahrain dan china emg ada perbaikan, menang saat lawan mereka sebenarnya juga bukan krn strategi yg bagus dari pelatih. Jujur aja emang kualitas timnas udh diatas china & bahrain, yg membuat timnas menang juga karena striker baru nya bagus ole romeny (jauh lebih tajam, sedikit peluang lgsg gool), konektifitas tiap lini juga di sambung oleh romeny (mau jemput bola, mau melebar ke sayap, pergerakan dia yg membuat timnas pk jdi punya chance menang) Eh setelah nya vs jepang bukannya belajar dari vs Australi, gampang bgt kebobolan vs jepang Lalu tibalah waktu ole romeny cidera gara gara main pramusim di indo, salah siapa lg klo g ketua Federasi nya😂 Timnas mau round 4 , ole romeny belum main sama sekali di klub + cidera, masuk round 4 lawan saudi malah membuat gebrakan taktik gajelas (bukannya main aman /malah diulang lagi main total football tapi lini tengah ga jalan, lini depan gamau track back) Akhirnya gampang bgt kena serang saudi, padahal punya kualitas pemain diatas saudi, ujung ujungnya kalah Lalu saat lawan irak udh ada perbaikan tapi balik lagi masalah nya gabisa cetak gool, romeny yg lg pemulihan cidera udah gabisa se roaming dulu lagi 🔄 Dan ya akhirnya kalah Udah jelas emg ni team kepelatihan elite punya asisten dg pengalaman di klub belanda tapi kalo pelatih nya batu 🗿 ya tetep aja gajelas dong Emg salah Federasi sih, ngapain alasan ganti sty ke pk kalo cuman untuk gagal pildun? 😂 Pk jd head coach cuman karena punya nama? Lucu bgt Federasi nya, emang nya pastorr ga punya nama? Sebagus apapun asisten pelatih, pelatih utama yang memutuskan Saat sty melatih aja, asistennya cuman coach nova yg di suruh belajar doang (-+ taktik dll ya sty) 😂",salah ekspektasi langsung lolos round kaya kagak dapet jabat menpora posisi ya aman mundur pssi tetep pimpin tinggi menpora udah percaya lawan australia main open play taktik gajelas kena serang gampang bobol bantai lawan saudi round ulang bilang dg ganti full belanda probabilitas masuk pildun persen tonton fans timnas laga pk vs australia udah timnas masuk piala dunia pelatih masuk langsung ubah sistem main open play strategi gajelas kena counter langsung keteter tetep paksa rubah loh ujungujungnya bantai australia ni pelatih si lawan bahrain china emg baik menang lawan strategi bagus pelatih jujur emang kualitas timnas udh atas china bahrain timnas menang striker bagus ole romeny tajam peluang lgsg gool konektifitas lini sambung romeny jemput bola lebar sayap gera timnas pk chance menang vs jepang ajar vs australi gampang bobol vs jepang tiba ole romeny cidera gara gara main pramusim indo salah lg ketua federasi timnas round ole romeny main klub cidera masuk round lawan saudi gebrak taktik gajelas main aman ulang main total football lini jalan lini gamau track back gampang kena serang saudi kualitas pemain atas saudi ujung ujung kalah lawan irak udh baik gabisa cetak gool romeny lg pulih cidera udah gabisa roaming ya kalah udah emg ni team latih elite asisten dg alam klub belanda kalo pelatih batu ya tetep gajelas emg salah federasi ngapain alas ganti sty pk kalo cuman gagal pildun pk head coach cuman nama lucu federasi emang pastorr nama bagus apa asisten pelatih pelatih utama putus sty latih asisten cuman coach nova suruh ajar doang taktik dll ya sty
@röckêt_pūñcher1 ya kita minta out ketum pssi dan menpora.,ya out tum pssi menpora
"​ @röckêt_pūñcher1 Anda salah, anda salah. Anda si PALING BENAR. 😂😂😂😂",salah salah si
@röckêt_pūñcher1 dibangun oleh sty dari awal lawan brunei dan dihancurkan oleh si bintang laut,bangun sty lawan brunei hancur si bintang laut
"iya dia yang udah berjuang mengangkat TIMNAS yang kesakitan, TIMNAS yang penuh keterpurukan, TIMNAS yang lagi dalam masa kegelapan. STY Berjuang dari Nol membangun pondasi selama 5 tahun, tapi malah di singkirkan",iya udah juang angkat timnas sakit timnas penuh puruk timnas gelap sty juang nol bangun pondasi singkir
Jangan ini kan tim kepelatihan terbaik...😂🎉,tim latih baik
"Yes bro... Gw setuju banget. Krn biar bagaimanapun STY lah yg mampu membangkitkan gairah para suporter timnas utk bergerak menyatukan energi utk dtg ke stadion, STY lah yg mampu membangun pondasi dan kerangka bermain timnas krn kita tau Ole romeny adalah puzzel terakhir dr tim yg diinginkan STY",yes tuju biar sty bangkit gairah suporter timnas gerak satu energi dtg stadion sty bangun pondasi kerangka main timnas ole romeny puzzel tim sty
"Cuci dlu mukanya dlu woi, kyk mw msk ke dalam goa aja, haha",cuci dlu muka dlu woi kyk mw msk goa
"Tolong dengerin PSSI inih bukan soal budaya, komunikasi lagii, Kalo boleh jujur menurut analisa saya timnas senior selama round 3,4 inih, Timnas senior yg sekarang inih sangat layak masuk otomatis ke piala Dunia,, saya sangat yakin, tapi sangat disayang kan dan fatal menurut saya saat pihak PSSI mendadak memecat coach shin di tengah jalan ini yg buat timnas kembali menurun berubah keadaan, dikarenakan Gonta ganti pelatih, padahal komposisi pemain itu sangat layak masuk ke piala dunia tapi ia itu tadih salah yg megang yakni seorang pelatih🥺dan jujur Dari segi Fisik stamina timnas senior yg di pegang PK nampak lemah, fisik stamina mereka sehingga berpengaruh pada sistem tak tik serangan di depan kiper pun tidak ada kombinasi yg membahayakan ke daerah kiper lawan shot on target minim dan saat ngepres lawan pun kayak kurang berani energi mereka, jujur Beda saat timnas Senior dipegang oleh coach shin tay yong, lihat saja di laga tandang ataupun kandang fisik stamina pemain timnas senior sangat kuat 90 menit dan jantung pertahanan pun kuat dan ngepres lawan itu berani...daya juang saat dipegang coach shin sangat tinggi, apalagi kombinasinya Jay, ridho dan Hubner yg sdh kuat cemestri mereka di lapangan kombinasi pemain muda dan senior, mereka juga masih muda,, sehingga ini bagus buat kedepannya Untuk timnas senior,, cumn sayang nya saat dipegang STY blum hadir nya ujung tombak yg haus goal, seperti ole romeny,, seandainya timnas senior masih di pegang sama Sty smpai akhir round ini,,pakem perkembangan tak tik, stamina yg sdh di bentuk Sty akan berjalan saat lawan Arab Saudi dan Irak di round 4 inih, tapi sayang Pihak PSSI memecat nya di tengah jalan padahal timnas senior masuk round 3 🇲🇨 kalo analisa saya mohon PSSI tanggung jawab dan tolong lihat antusias masyarakat sangat menantikan kembali nya sosok Coach shin tay yong di timnas senior dan U 23..saya yakin pengganti Thom haye seperti ivar Jenner yg masih muda, Justin hubner, jey idzes, Joy, Kevin diks, Emil, ridho, verdonk, Sandy, ole romeny,,mereka inih saya yakin 2030 siap memberikan kejutan meloloskan timnas senior ke piala Dunia,, cuman syarat nya kembali kan STY, karna dia awal pembentukan proses timnas senior dan u 23, tak tik gemblengan ala Asia asal Korsel inih sangat kental dan kuat dan hal itu bukan tidak mungkin timnas akan seperti kuat seperti korsel yg ditangani coach shin Tay yong...dan hal itu terbukti.!! Mari kita terus kawal Kapten kita Jay idzes dkk.. sampai lolos piala Dunia tahun depan..dan kita netizen ayoo Bersuara berdasarkan fakta bahwa Coach shin adalah pelatih kelas Dunia, pelatih yg tulus hatinya, ikhlas dan bisa mengayomi pemain timnas Senior dan U 23 akan kasih sayang nya terhadap pemain.🇲🇨🔥✊🏼 Sedihh sebenarnya melihat perjuangan jay idzes dkk melihat raut wajah mereka dalam berjuang.. Terimakasih... kapitano Jay idzes kapten Timnas Indonesia senior The best kami disini terus dukung kalian kami netizen sudah cerdas dan bisa membedakan mana pelatih yg berkualitas yg ikhlas mana yg enggak✊🏼👏🏼👏🏼👏🏼 Kapten jay idzes..kau sosok kapten yg kami nantikan truss dsini kami dukung ssmpai bendera timnas Indonesia terpampang di Piala Dunia, kami tunggu perjuangan kalian lagiii👏🏼👏🏼🇲🇨🔥",tolong dengerin pssi inih budaya komunikasi lagi kalo jujur analisa timnas senior round inih timnas senior inih layak masuk otomatis piala dunia sayang fatal pssi dadak pecat coach shin jalan timnas turun ubah gonta ganti pelatih komposisi pemain layak masuk piala dunia tadih salah megang pelatihdan jujur segi fisik stamina timnas senior pegang pk nampak lemah fisik stamina pengaruh sistem tik serang kiper kombinasi bahaya daerah kiper lawan shot on target minim ngepres lawan berani energi jujur beda timnas senior pegang coach shin tay yong lihat laga tandang kandang fisik stamina pemain timnas senior kuat menit jantung tahan kuat ngepres lawan beranidaya juang pegang coach shin kombinasi jay ridho hubner sdh kuat cemestri lapang kombinasi pemain muda senior muda bagus depan timnas senior cumn sayang pegang sty blum hadir ujung tombak haus goal ole romeny anda timnas senior pegang sty smpai round inipakem kembang tik stamina sdh bentuk sty jalan lawan arab saudi irak round inih sayang pssi pecat jalan timnas senior masuk round kalo analisa mohon pssi tanggung tolong lihat antusias masyarakat sosok coach shin tay yong timnas senior ganti thom haye ivar jenner muda justin hubner jey idzes joy kevin diks emil ridho verdonk sandy ole romenymereka inih kejut lolos timnas senior piala dunia cuman syarat sty bentuk proses timnas senior tik gembleng ala asia korsel inih kental kuat timnas kuat korsel tangan coach shin tay yongdan bukti mari kawal kapten jay idzes dkk lolos piala dunia depandan netizen ayoo suara dasar fakta coach shin pelatih kelas dunia pelatih tulus hati ikhlas ayom pemain timnas senior kasih sayang pemain sedihh juang jay idzes dkk raut wajah juang terimakasih kapitano jay idzes kapten timnas indonesia senior the best dukung netizen cerdas beda pelatih kualitas ikhlas kapten jay idzeskau sosok kapten nanti truss dsini dukung ssmpai bendera timnas indonesia pampang piala dunia tunggu juang lagiii
Setuju! Lebih baik gagal dengan orang yang membangun tim ini dari nol. Dan itupun belum tentu gagal andai STY masih bersama timnas.,tuju gagal orang bangun tim nol itu gagal andai sty timnas
Sama bang ... Gak ikhlas saya kita gagal karena semua yg sudah tertata rapi di obok obok oleh Erick Thohir. Kalo cuma akhirnya gagal kenapa pake ganti pelatih?! En toh endingnya juga gagal. Erick Thohir wajib mundur sebagai bentuk tanggung jawab!!!,bang ikhlas gagal tata rapi obok obok erick thohir kalo gagal pake ganti pelatih en endingnya gagal erick thohir wajib mundur bentuk tanggung
"Sty walaupun blm pernah dapat piala selama di timnas,tapi sejarahnya itu loh dia ciptakan dengan maju ke 16 besar piala asia dan berhasil masuk semifinal piala asia u 23 yg dmn ini pencapaian besar timnas kita dibandingkan pelatih sebelum sty,dan herannya masih ada aja orang yg benci sama sty",sty blm piala timnastapi sejarah loh cipta maju piala asia hasil masuk semifinal piala asia dmn capai timnas banding pelatih stydan heran orang benci sty
"​ @cilung2 Yes, jangan pernah lupakan pembuka lembar sejarah baru timnas Indonesia.",yes lupa buka lembar sejarah timnas indonesia
STY yg terbaik,sty baik
"Lebih iklas kalah bersama sty karena perjuangan timnas bersama sty mulai round 1 sampai pertengahan round 3. Jika bersama sty saya yakin bisa mengalahkan arab Saudi minimal tahan imbang. Bersama Patrik timnas terus saja dibantai. Lawan Australia harusnya minimal bisa imbang malah hancur lebur, lawan Arab harusnya bisa menang. Entahlah",iklas kalah sty juang timnas sty round tengah round sty kalah arab saudi minimal tahan imbang patrik timnas bantai lawan australia minimal imbang hancur lebur lawan arab menang
#excopssiallout MAKAN TUH TIM KEPLATIHAN TERBAIK KUNTULLL,excopssiallout makan tuh tim keplatihan baik kuntulll
"Makan tu total football 😂 , ini adalah team ""kepelatihan terbaik"" Prreeeeettttt🥴",makan tu total football team latih baik prreeeeettttt
Karena kita tau perjuangan coach sty,juang coach sty
"SKENARIO BESARNYA MAFIA depak STY ganti dengan pelatih abal abal.gagalkan pildun lalu tuduh ERIC TOHIR GAGAL langkah selanjutnya DEPAK ERICK TOHIR ganti dengan ketua PSSI BARU YG SONTOLOYO yang sejalan dengan program MAFIA. CEK TUH TOWEL , JASTIN DAN AKMAL.sejak STY OUT mereka MINGKEM DARI NYINYIR KAN???",skenario besar mafia depak sty ganti pelatih abal abalgagalkan pildun tuduh eric tohir gagal langkah depak erick tohir ganti ketua pssi sontoloyo jalan program mafia cek tuh towel jastin akmalsejak sty out mingkem nyinyir
"Cuma gara pengen piala AFF, ganti pelatih ditengah jalan. Emang gak niat ke pildun. Ngimpi iiii🤣",gara ken piala aff ganti pelatih tengah jalan emang niat pildun ngimpi iiii
Yoi,yoi
"Hhhh,,😂😂",hhhh
Up,up
Sy jga plohpilih STY dgn materi kepelatihan dan taktikal yg lebih baik,sy jga plohpilih sty materi latih taktikal
cocok ini STY balik lagi ke timnas..beliau baru di berhentikan dari ULSAN,cocok sty timnasbeliau henti ulsan
Perjudian ketum dan pelatihh.. Ganti... Emang nya PSSI punya nya ERIK,judi tum pelatihh ganti emang pssi erik
"iya lagi, sama gw juga",iya
"Andai gua kluivert, kepulangan dri Arab, setibanya di indo gua langsung press con utk mengundurkan diri.",andai kluivert pulang dri arab indo langsung press con undur
"Permainan fantastis dari para pemain timnas. Kita fans timnas. Menang kalah kita dukung mereka para pemain !!! PK OUT !!! Pak ET, silahkan bertanggung jawab ! Klau menurut saya sih, ya gak usah mundur mengingat jasa2 beliau juga banyak. Kalau pak ET mau berbesar hati, lakukan saja sprti Timnas Arab Saudi yg rujuk dg pelatih lamanya. Rujuklah dg coach STY. Bangun lagi sepakbola indonesia. Bukannya sudah terbukti duet kalian membuat euoforia spkbola indonesia bergelora, dg segala harapan perubahan baik di dalamnya. Insya Alloh masyarakat spkbola indonesia sabar menunggu prosesnya.",main fantastis pemain timnas fans timnas menang kalah dukung pemain pk out et silah tanggung klau ya mundur jasa beliau et besar hati laku sprti timnas arab saudi rujuk dg pelatih rujuk dg coach sty bangun sepakbola indonesia bukti duet euoforia spkbola indonesia gelora dg harap ubah dalam insya alloh masyarakat spkbola indonesia sabar tunggu proses
"Lu nonton timnas nggak bro? Asnawai di round 3 udah jarang dipake Ama sty, cuman lawan China dia starter",nonton timnas asnawai round udah jarang dipake ama sty cuman lawan china starter
Bener banget kalau hasilnya sama2 gagal,bener hasil gagal
