komentar,komentar_bersih
si pk menangis bahagia sbb menang taruhan 😂,si pk menang bahagia sbb menang taruh
"Jangan nangis anda kalah kwalitas,lebih banyak belajar dan berlatih",nang kalah kwalitaslebih ajar latih
"Seandainya formasi ini dimainkan sejak lawan arab saudi kemaren, hasilnya bisa sangat berbeda!. karena kemenangan itu akan menciptakan mental positif bagi para pemain.",anda formasi main lawan arab saudi kemaren hasil beda menang cipta mental positif pemain
Jika g ganti pelatih jgn harap terlalu tinggi..,ganti pelatih jgn harap
"Empat tahun yang akan datang semua sepak bola asia sudah naturalisasi, lebih berat persaingannya daripada saat ini.",sepak bola asia naturalisasi berat saing
Sty harus di panggil lagi melatih Indonesia,sty panggil latih indonesia
"Kesalahan terbesar dan sangat fatal mengganti pelatih STY ditengah perjalanan..,, sangat menyedihkan sekali untuk pelatih STY dan para pemain diaspora yang sudah berjuang keras dari awal untuk Timnas kita....!! 😭😭😭",salah besar fatal ganti pelatih sty tengah jalan sedih pelatih sty pemain diaspora juang keras timnas
"Ratusan tahun penantian sejak berdirinya sepak bola,berakhir kecewa.",ratus nanti diri sepak bolaberakhir kecewa
sty ❤,sty
Ada asa saat sty .eh pssi nya malah lawak ganti dengan pelatih amatiran..😂 bangga nya towel dan justin dengan hasil ini😂,asa sty pssi lawak ganti pelatih amatir bangga towel justin hasil
parick menangis bahagia karena misinya sudah tercapai.,parick menang bahagia misi capai
Suda gak usah nangis.. itu suda resiko ganti Sty .. itu yg bung towel mau secara terselubung ..,suda nang suda resiko ganti sty towel selubung
Ada pelatih yg punya disiplin tinggi malah dipecat..😅😅,pelatih disiplin pecat
Wow mantan pemain MU inggris nya pakai aksen british dong...?!!!,wow mantan pemain mu inggris pakai aksen british
"Harusnya piala dunia sekali dalam 3 tahun, kalo 4 tahun kelamaan.",piala dunia kalo
"Rata""pemain timnas masih muda"",pelatih ini sudah gagal total.siapa pun penganti pelatih ini dia harus tau kelemahan dan kelebihan timnas,timnas tidak membutuhkan nama""besar,tapi timnas membutuhkan pemain""yg tangguh,terutama gelandang bertahan dan serang.",ratapemain timnas mudapelatih gagal totalsiapa anti pelatih lemah lebih timnastimnas butuh namabesartapi timnas butuh pemainyg tangguhterutama gelandang tahan serang
"Si towel itu seneng liat indo ga lolos ,,,mana ada kritik ke PK ,,walau pun kalah,,",si towel neng liat indo lolos kritik pk kalah
Air mata gembira para mafia bola indonesia🔥🔥karena berhasil buat timnas hancur🎉,air mata gembira mafia bola indonesiakarena hasil timnas hancur
"Efek Tohir 8481nya si Mulyono yg tiba2 pecat STY, tohir 444njin9",efek tohir si mulyono pecat sty tohir njin
"Makan tu erick tohir,towel dan kroni-kronimu hasil kekalahan timnas.",makan tu erick tohirtowel kronikronimu hasil kalah timnas
