komentar,komentar_bersih
"Menang kalah udah hal biasa dlm permainan sepak bola, yg penting ke depannya PSSI akan lebih baik dan sukses ke depannya....bravo Garudaku rakyat bertrimakasih dgn perjuangan kalian di lapangan hijau.....❤❤❤❤",menang kalah udah main sepak bola depan pssi sukses depannyabravo garuda rakyat bertrimakasih juang lapang hijau
Hahahaha Erik Tohir sama bung tower biang kerok nya,hahahaha erik tohir tower biang kerok
"Harusnya pelatihnya bu towel, biar langsung ke Final piala dunia.",latih bu towel biar langsung final piala dunia
Tangisan bhgia krna dpt AMPLOP bnyak,tangis bhgia krna dpt amplop bnyak
Selamat towell,selamat towell
"Bung towel, pssi butuh banyak masukan dari anda",towel pssi butuh masuk
"semua orang tau dan paham pelatih STY lebih tpat di tmnas indonesia ,bawa kmbali DTY ke timnas indonesia",orang paham pelatih sty tpat tmnas indonesia bawa kmbali dty timnas indonesia
Satu kata peca pk.,peca pk
Luar biasa perjuangan mu garuda senior.. Tapi perlu di ingat banyak kecurangan dan di rugikan sama pengadil lapangan,juang mu garuda senior curang rugi adil lapang
Toel toel seneng nih,toel toel neng
"Klo klah di hina, klo mnang di sanjung begitulah netizen indo",klah hina mnang sanjung netizen indo
"Namanya permainan ,pasti harus ada kalah dan menang Gak papa....,tetep PSSI kebanggaan kita Indonesia❤❤❤",nama main kalah menang papatetep pssi bangga indonesia
Apapun hasilnya kalian gladiator hebat Bro...thankz you sudah memberikan terbaik sejauh ini....🙏@patrick out @STY in...,apa hasil gladiator hebat brothankz you baik out in
"Lu punya kekayaan alam yg melimpah tp knp rakyat lu msh byk yg hidup d bawah garis kmuskinan, PAHAM KAN YG BRTANGGUNG JAWAB ITU SIAPA? Bgtupun sepakbola, pmain sdh brjuang smaksimal mgkin tp apa daya klo yg mnahkodai modelan kang judol…😅",kaya alam limpah rakyat msh byk hidup garis kmuskinan paham brtanggung bgtupun sepakbola pmain sdh brjuang smaksimal mgkin daya mnahkodai model kang judol
"Ayo.... Mulai lagi bina pemain muda baik lokal maupun diaspora, supaya 2030 bisa lebih baik",ayo bina pemain muda lokal diaspora
