komentar,komentar_bersih
"STY org yg jujur, dia gak mau diajak bermain curang sama ERICK, sehingga dia dipecat si erick ,, ERICK Tohir itu pebisnis ,, semua pasti dibisniskan sama dia ,, termasuklah para pemain2 naturalisasi itu kan bisnis dia ... Betul lah kata guru ekonomi saya disekolah dulu : ""JANGAN PERNAH PILIH PEMIMPIN DARI SEORANG PEBISNIS, KARENA HIDUP NYA TIDAK AKAN JAUH2 DARI BISNIS"" Jadi kita jgn terlalu polos ,, faktanya ada perputaran judi besar yg dibisniskan melalui sepak bola.. Emangnya kita yakin para pemain naturalisasi itu seutuhnya tidak bisa dibisniskan sehingga bisa diatur untuk menang atau kalah ?? Ini Indonesia bro ,, dimana mafia dan bisnis selalu bergandengan tangan 😂😂😂",sty orang jujur ajak main curang erick pecat si erick erick tohir bisnis bisnis masuk pemain naturalisasi bisnis guru ekonomi seko pilih pimpin bisnis hidup bisnis jgn polos fakta putar judi bisnis sepak bola emang pemain naturalisasi utuh bisnis atur menang kalah indonesia mana mafia bisnis gandeng tangan
"Mundur pun udah untung, udah dapat jabatan yang lebih tinggi di Menpora. 😢",mundur udah untung udah jabat menpora
Minimal skil 1 dlu bang jgn lngsung ulti 😂 🔥🔥🔥,minimal skil dlu bang jgn lngsung ulti
Minimal PK mundur bang..,minimal pk mundur bang
​ @mbonsm3134 kasih kesempatan pak Erik dan petrik sekali lagi untuk menghacurkan timnas di AFC nantik bg.,kasih sempat erik trik menghacurkan timnas afc nantik bg
"bener, dinepalkan pun masih ga mempan",bener dinepalkan mempan
"sekarang ET Menpora, mundur pun dari PSSI, kalau di posisi Menpora tidak mundur percuma, karena anggaran uang PSSI lewat Menpora diberikan Menteri Keuangan",et menpora mundur pssi posisi menpora mundur anggar uang pssi menpora menteri uang
Setuju 😂😂😂,tuju
hugeng mas,hugeng mas
Apa sih yg di harapkan ganti platih.....et pernah bilang dia harus gambling alias JUDI.....klo berhasil ok klo tdk berhasil ya sudah.......dimana2 penjudi itu bukan pembangun......contoh uzbek mreka bangun dasar sepakbola dr awal tanpa hrs jd penjudi......sekalinya lolos bahagianya bukan main.....2 hasil yg di dpt.....lolos pildun dan pembangunan dasar sepakbola yg tangguh.........ketua federasi hrs di ganti......ganti yg punya jiwa pembangun bukan yg cari jalan pintas demi 2029......,harap ganti platihet bilang gambling alias judiklo hasil ok hasil ya sudahdimana judi pembanguncontoh uzbek mreka bangun dasar sepakbola hrs penjudisekalinya lolos bahagia main hasil dptlolos pildun bangun dasar sepakbola tangguhketua federasi hrs gantiganti jiwa bangun cari jalan pintas
"4 tahun lebih membimbing Timnas. Berani memainkan pemain muda, memainkan taktik yang efektif buat komposisi pemain yang ada, dan hasilnya juga positif. Dia diganti karena keinginan seseorang bukan karena kesalahan dia sendiri.",bimbing timnas berani main pemain muda main taktik efektif komposisi pemain hasil positif ganti salah
"Bukan cuma dari 0, dari minus malah",minus
"@riowidodo9940 dia yang banyak ngajarin pasing ke pemain lokal kita,mulai dari pola makan dll,dibilang kalo timnas dilatih sty mulai dari nol itu gw keliru sty melatih timnas tu bener bener dari minus bukan dari nol lagi",ngajarin pasing pemain lokal kitamulai pola makan dlldibilang kalo timnas latih sty nol keliru sty latih timnas tu bener bener minus nol
Piala AFF 2020 gw terpesona dengan perubahan tim nasional pemain muda maen 2jam penuh juga ok fisik mental terbangun ehh,piala aff pesona ubah tim nasional pemain muda maen jam penuh ok fisik mental bangun ehh
