komentar,komentar_bersih
",,,pdhl dia jg pengen timnas ke piala dunia,,,cm salahnya knp mengganti sty di tengah jalan,,maksudnya pengen timnas lebih maju dan lolos ke pildun,,,tp malah blunder,,,dan untuk menutupi kesalahan dia akhirnya dia bilang seperti itu,,namun andai sty msh dipertahankan,,,mungkin aja timnas bs lolos pildun,,,nama pa erik pasti bagus jg di mata pecinta timnas karena berhasil membawa timnas ke piala dunia",pdhl jg ken timnas piala duniacm salah ganti sty jalanmaksudnya ken timnas maju lolos pilduntp blunderdan tutup salah bilang itunamun andai sty msh dipertahankanmungkin timnas bs lolos pildunnama pa erik bagus jg mata cinta timnas hasil bawa timnas piala dunia
Sebelum main dengan ronde 4 ET datangi ke studio BBB dia untuk mencegah kritik padanya.,main ronde et datang studio bbb cegah kritik
"Nanti kalau gak ada yang nonton di tribun ngemis"" sama fans.sekarang jadi Menpora rangkap ketum PSSI.y",nonton tribun ngemis fanssekarang menpora rangkap tum pssiy
Yg lebih anehnya lagi pelanggaran di kotak pinalti dik di sikut yg nyikut kena kartu merah tapi kok gak pelanggaran/pinalti cuma di kasih kartu doang 🤣🤣🤣,aneh langgar kotak pinalti dik sikut nyikut kena kartu merah pelanggaranpinalti kasih kartu doang
Ada betulnya jga mereka hanya berusaha untuk bisa masuk piala Dunia tpi fans kita terlalu berexpetasi tinggi padahal lolos round 4 aja suda prestasi,betul jga usaha masuk piala dunia fans berexpetasi lolos round suda prestasi
Masih jauh klo lihat dari segi permainan dan kualitas klo untuk masuk pildun,lihat segi main kualitas masuk pildun
Wajib pecat pelatih dan ganti ketua umum PSSI,wajib pecat pelatih ganti ketua pssi
"Hadeuh yg bgini yg bikin gaduh,,, ET ngomong ny gk bgitu bre",hadeuh bgini bikin gaduh et ngomong ny bgitu bre
Toha toha😂,toha toha
Kalau.benar.pernyataanya.begitu.pertanyaanya.masihkah.kita.mempercayainya.sbg.ketum.PSSI?,kalaubenarpernyataanyabegitupertanyaanyamasihkahkitamempercayainyasbgketumpssi
Itu jawaban Ter dungu dr pejabat PSSI..,ter dungu jabat pssi
"Sepak bola Indonesia dikenal dunia,dibawah pimpinan ETO,,Boleh pelatih diganti tapi ketua PSSI ada ga yg bisa bersinergi dengan dunia luar, orang orang yang berpengaruh di sepak bola dunia.jadi menurut ku anggap ini suatu dasar atau pondasi untuk menopang tim kedepan nya,,Ingat ya ini Indonesia,negara eropa pun ga semuanya timnas y lolos PILDUN,inikan jangka panjang,Para Pemain sudah mati Matian berjuang Ingin lolos,kita sebagai penonton jangan egois,susah tidak gampang, perjuangan butuh waktu,terimalah dan bijak dalam menilai dan memutuskan.. kritik boleh tapi jangan berlebihan.",sepak bola indonesia kenal duniadibawah pimpin etoboleh pelatih ganti ketua pssi sinergi dunia orang orang pengaruh sepak bola duniajadi ku anggap dasar pondasi topang tim depan nyaingat ya indonesianegara eropa timnas lolos pilduninikan jangka panjangpara pemain mati mati juang loloskita tonton egoissusah gampang juang butuh waktuterimalah bijak nilai putus kritik
Hanya di era patrick timnas Indonesia mencetak gol salalu melalui titik putih di kualifikasi pildun,era patrick timnas indonesia cetak gol salalu titik putih kualifikasi pildun
Namanya juga politisi Kak,nama politis kak
Saya setuju sekali sama bung binder...TDK ada yg saya bantah...1000% setuju,tuju bindertdk bantah tuju
Ya kalau gak boleh bermimpi lolos ke piala Dunia. Lebih baik gak ush ikut kualifikasi piala dunia sampai2 habis habisan naturalisasi pemain.,ya mimpi lolos piala dunia ush kualifikasi piala dunia habis habis naturalisasi pemain
"Jgn diartikan mentah² pernyataan erick tohir itu, jgn dinilai dg memperbesar prasangka buruk, artinya mimpi apapun dlm hal apapun itu hrs siap menerima resiko apapun & salah satunya kegagalan. Utk mndapatkan hasil terbaik dlm hal apapun bukan hanya dlm sepak bola pasti akan bertemu dg kegagalan, krn sesuatu yg besar & terbaik pasti tdk mudah dicapai secara instan.",jgn arti mentah nyata erick tohir jgn nilai dg besar prasangka buruk mimpi apa apa hrs terima resiko apa salah satu gagal mndapatkan hasil baik apa sepak bola temu dg gagal baik mudah capai instan
Emank gila jabatan,emank gila jabat
out ET dan semua staffnya secepatnya,out et staffnya cepat
"Baru itu...gue juga liat! Gue kira ET istimewa, ternyata gak ada beda nya dgn pejabat2 indonesia, ngeluarin statement yg nyakitin hati fans Indonesia...kalau gak bermimpi ke pildun, buat apa proyek ke pildun njirrr? Ngapain capek2 cari pemain naturalisasi? Mending fokus benerin liga lokal, meningkatkan mutu dan stamina pemain2 lokal...",itugue liat et istimewa beda jabat indonesia ngeluarin statement nyakitin hati fans indonesiakalau mimpi pildun proyek pildun njirrr ngapain capek cari pemain naturalisasi mending fokus benerin liga lokal tingkat mutu stamina pemain lokal
Patrik out ganti sama beny dollo😅😅,patrik out ganti beny dollo
"Politisi mulutnya gak bisa di percaya, udah blacklist di 2029",politis mulut percaya udah blacklist
Kpan diyoutub apa,kpan diyoutub
Siapa suruh ganti sty keluatan mainnya kucar kacir,suruh ganti sty luat main kucar kacir
"Kalian disini harus paham,sejauh ini hanyalah pak Erick Thohir yang paham sepakbola dibanding Ketum PSSI yang sudah pernah ada. Lihatlah sekarang liga Indonesia perlahan mulai enak ditonton. Sebelum pak Erick datang liga Indonesia itu macam tarkam. Itu sedikit contoh/indikasi bahwasanya pak Erick Thohir benar adanya membawa perubahan untuk sepakbola Indonesia terutama timnas.",pahamsejauh erick thohir paham sepakbola banding tum pssi lihat liga indonesia perlahan enak tonton erick liga indonesia tarkam contohindikasi erick thohir bawa ubah sepakbola indonesia timnas
"​ @mesacchanel5431 lah justru pondasi permainan dibentuk sebelum era erik menjabat, kebetulan permainan mulai terlihat bagus saat erik mulai menjabat, malah dirusak dengan memecat STY,. Anda lucu.",pondasi main bentuk era erik jabat main bagus erik jabat rusak pecat sty lucu
ET harus mundur dari Ketum PSSI. PK juga out.,et mundur tum pssi pk out
Ngabisin anggaran negara 😂😂,ngabisin anggar negara
Kalau gagal barengan giliran sukses merasa paling berjasa sendiri,gagal bareng gilir sukses jasa
infokan nonton dimana gan?,info nonton mana gan
​ @lutupxx .Oh ya brow ada beredar di yutube teekait pernyataan itu,ya brow edar yutube teekait nyata
Setahu saya. Target Timnas kita Lolos di Round 4 Tapi kita ada peluang untuk ke Piala Dunia. Fans mungkin salah mengartikan.,tahu target timnas lolos round peluang piala dunia fans salah arti
