komentar,komentar_bersih
"Gw yakin bang kalau PK masih bertahan dan masih kalah mulu, tanpa perlu boikot GBK bakal kosong sendiri. Rasain it Federasi, bakal berkurang pendapatnnya. Semoga sponsor juga bakal ilang.",bang pk tahan kalah mulu boikot gbk kosong rasain it federasi kurang pendapatnnya moga sponsor ilang
memang analisa bung binder mantap,analisa binder mantap
Ayoo masyarakat jangan diam saja datangi PSSI....,ayoo masyarakat diam datang pssi
Kasih kesempatan 4 tahun lagi kaya sty👍🏻,kasih sempat kaya sty
​ @AbdulHamid-ky2ed mending bubarin Saja timnas Indonesia dari pada ngasih kesempatan Patrik kluviet sampe 4 tahun sama sadja kembali ke era kegelapan simon 💩💩,ky ed mending bubarin timnas indonesia ngasih sempat patrik kluviet sampe sadja era gelap simon
kontrak profesional kok minta maaf segala..dikira sty pahlawan tanpa jasa😂,kontrak profesional maaf segaladikira sty pahlawan jasa
"​ @januarfirmansyah347 Jelas STY itu ""pahlawan tanpa tanda jasa"". Tidak ada pelatih Indonesia yang mampu selevel dia menggunakan squad miliknya, bahkan yang dikatakan ""Kepelatihan Terbaik"" tak mampu menyerang gawang jepang yang dipenuhi pemain pelapis dan terbantai dari Australia yang dipenuhi pemain pelapis pula, berbeda jauh dari STY yang mampu melawan mereka dengan bagus saat mereka dipenuhi pemain inti.... Ingat jika STY memberikan pertandingan terbaik saat itu dengan pemain seadanya tanpa lini depan yang kuat🥱",sty pahlawan tanda jasa pelatih indonesia level squad milik latih baik serang gawang jepang penuh pemain lap bantai australia penuh pemain lap beda sty lawan bagus penuh pemain inti sty tanding baik pemain ada lini kuat
"😢😢😢😢 parah banget sih, katanya ganti platih biar persentase masuk piala dunianya lebih yakin😂😂😂 Terus saya pernah denger pernyataan arya Sinulingga, 1 STY kita ganti sama 3 pelatih sekaligus, Petrik Deni Alex pastor 😂",parah ganti platih biar persentase masuk piala dunia denger nyata arya sinulingga sty ganti pelatih trik den alex pastor
​ @ikbalbaik064 Dan hasilnya sekarang 0 bearteap beri dukungan kepada pemain timnas Indonesia,hasil bearteap dukung pemain timnas indonesia
​ @ikbalbaik064 ternyata 1 pelatih di ganti dengan 3 pelatih begini ya alhasil nya tidak lolos 😁,pelatih ganti pelatih ya alhasil lolos
"Emang konyol bin menyedihkan sih kalau begitu. Kredibilitasnya sbg ketum dipertanyakan. Secara kan dia sendiri yg menyetujui ttg proyek naturalisasi, matchday², dan yg paling kliatan yaa ganti pelatih. 😂 Dia yang ngasih harapan, eh kok bisa²nya bilang hal bodoh kek gitu.",emang konyol bin sedih kredibilitas sbg tum tuju ttg proyek naturalisasi matchday kliatan yaa ganti pelatih ngasih harap bisa bilang bodoh gitu
​ @briandal807 Klo gitu suruh dia mengundurkan diri aj. Karena dia jadi ketum pssi gk mau bawa timnas ke piala dunia. 😊,gitu suruh undur aj tum pssi bawa timnas piala dunia
berarti ET ini orangnya ga baik hati dan rendah hati kalau orangnya rendah hati dan baik hati gak mungkin mengeluarkan kata2 seperti itu,et orang hati rendah hati orang rendah hati hati keluar
@TonnyKosmanto siapa bilang dia baik dia haus validasi,bilang haus validasi
Kalo ga becus jangan berdalih sok pintar mundur saja dari jabatan ketum PSSi bahkan selama ini mafia bola dipelihara terus.,kalo becus dalih sok pintar mundur jabat tum pssi mafia bola pelihara
​ @wejanggapurwanto-d2y iya.. Saya yakin anda lebih pantas jdi ketum PSSI 🤣🤣🤣,iya tum pssi
"Erik bilang siapa suruh mimpi masuk pildun kpda fens timnas, itu sungguh tdk ada jiwa nasionalis kpd bangsa sendiri. Lebih baik di mundur kan ketumnya ganti mbak ratu .",erik bilang suruh mimpi masuk pildun kpda fens timnas sungguh jiwa nasionalis kpd bangsa mundur tum ganti mbak ratu
"Intinya, kesalahan si Thohir,ganti STY di tengah jalan,dan tim sedang bagus,baru saja hajar arab! Itu point yg utama!",inti salah si thohirganti sty jalandan tim bagusbaru hajar arab point utama
Takdir semua sdh tertulis...,takdir sdh tulis
Dia juga pernah bilang.dia siap mundur kalau sudah tidak di percaya lagi.. Menurut saya ini lah waktu yang paling tepat pak erik,bilangdia mundur percaya erik
Pk E T kepingin di nepalkan,pk kepingin nepalkan
"Gagal total wajib pecat pelatih harga mati,,",gagal total wajib pecat pelatih harga mati
Tau kan buru buru menjabat kemenpora lalu cuci tangan pinter bersilet lidah,buru buru jabat kemenpora cuci tangan pinter silet lidah
"Sy juga ingat statement ETo di youtube bhw penggantian pelatih krn level piala dunia, level pelatihnya hrs lbh tinggi levelnya dan diberi target lolos pildun 2026. Klo mau liat stastik, era STY timnas mencetak gol dr open play total 6 gol (slh satunya trow in). Sementara di era PK total golnya 5 gol (2 open play, 3 pinalty). Beda kualitas..?...🤔",sy statement eto youtube bhw ganti pelatih level piala dunia level latih hrs lbh level target lolos pildun liat stastik era sty timnas cetak gol open play total gol slh satu trow in era pk total gol gol open play pinalty beda kualitas
"​ @chandy_1776 kedua ny sama no piala, no juara",ny no piala no juara
​ @chandy_1776 goal open play semua dari ole😂..,goal open play ole
"Kan pildun emng mimpi besar bro, tapi tetap Erik harus bertanggungjawab atas kegagalan ini, krna dia yg ambil keputusan dg ganti pelatih",pildun emng mimpi erik bertanggungjawab gagal krna ambil putus dg ganti pelatih
"Eric out dari PSSI ,dan Arya, Ga guna klo orang politik rangkap jabatan",eric out pssi arya orang politik rangkap jabat
"​ @lanangsejagat5691 nggak ada ketum terbaik selain ET, yang ada klo Tisna diombang-ambingkan n muncullah Nurdin Halid Kembali ke zaman kegelapan😂",tum baik et tisna diombangambingkan muncul nurdin halid zaman gelap
"Lu pada sadar ga pemain timnas itu sedang era umur umur keemasan 25 sampai 27, kalau mereka main di pildun 2026 dan bermain bagus , club club besar eropa pasti ngelirik , tapi kakau berharap di 2030 umur mereka udah 30 34 tahun, club besar eropa mana yang mau lirik umur 30 sampai 34 tahun mikir boy , lu hancurin karir mereka dengan mengganti nahkoda di tengah jalan , Gimana ga sakit hati mereka, dan ada ramalan juga dari prabowo 2030 Indonesia ituh bubar dan tadi itu pupus semua harapan mereka😢😂",sadar pemain timnas era umur umur emas main pildun main bagus club club eropa ngelirik kakau harap umur udah club eropa lirik umur mikir boy hancurin karir ganti nahkoda jalan gimana sakit hati ramal prabowo indonesia ituh bubar pupus harap
​ @SAVIERSIGNATURE era STY juga sama aja g abakalan lolos pildun,era sty abakalan lolos pildun
"​ @SAVIERSIGNATURE Indonesia bubar kalau,,,, Jangan di potong kalimatnya bung masih ada kalimat berikutnya.",indonesia bubar potong kalimat kalimat
"​ @SAVIERSIGNATURE Nah ini banget! makanya ga gmn pd hancur hati mrk...para pemain timnas diaspora itu perjuangan pengorbanannya ga main2 lho, tp Kluivert malah main2 dgn nasib mrk + bangsa ini!!",gmn hancur hati mrkpara pemain timnas diaspora juang korban main lho kluivert main nasib mrk bangsa
Berarti kalau gitu ada sebuah bisnis di balik ini alias ada mafia di PSSI,gitu bisnis alias mafia pssi
